participant_id,cinsiyet,yas,egitim,meslek,alisveris_sikligi,cihaz,ahp_01,ahp_02,ahp_03,ahp_04,ahp_05,ahp_06,ahp_07,ahp_08,ahp_09,ahp_10,topsis_K1_A1,topsis_K1_A2,topsis_K1_A3,topsis_K1_A4,topsis_K1_A5,topsis_K1_A6,topsis_K2_A1,topsis_K2_A2,topsis_K2_A3,topsis_K2_A4,topsis_K2_A5,topsis_K2_A6,topsis_K3_A1,topsis_K3_A2,topsis_K3_A3,topsis_K3_A4,topsis_K3_A5,topsis_K3_A6,topsis_K4_A1,topsis_K4_A2,topsis_K4_A3,topsis_K4_A4,topsis_K4_A5,topsis_K4_A6,topsis_K5_A1,topsis_K5_A2,topsis_K5_A3,topsis_K5_A4,topsis_K5_A5,topsis_K5_A6
1,Kadın,18-24,Lise,Kamu,Ayda birkaç kez,Mobil uygulama,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,70,70,Kullanmıyorum,40,70,80,70,Kullanmıyorum,80,60,90,80,80,60,80,Kullanmıyorum,70,60,70,60,70,50,80,80,80,70,80,80,60,80
2,Erkek,25-34,Lisans,Kamu,Haftada birkaç kez,Tablet,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,70,60,90,Kullanmıyorum,90,90,80,60,80,40,70,70,Kullanmıyorum,50,90,50,70,90,80,60,70,60,80,80,70,60,80,60,50,80
3,Erkek,18-24,Lisans,Öğrenci,Haftada bir,Mobil uygulama,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,5.0,5.0,80,60,80,50,Kullanmıyorum,80,80,70,70,30,80,100,70,60,80,50,70,90,70,60,70,50,80,100,70,60,80,60,60,80
4,Kadın,45-54,Lisans,Serbest Meslek,Haftada bir,Mobil tarayıcı,5.0,3.0,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,5.0,3.0,70,50,80,60,60,100,100,60,80,50,80,90,Kullanmıyorum,60,80,50,80,80,80,70,90,50,70,80,80,60,80,70,50,80
5,Erkek,18-24,Lisans,Özel Sektör,Haftada bir,Mobil uygulama,1.0,0.3333333333333333,1.0,0.3333333333333333,3.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,80,50,70,60,70,90,90,50,80,60,80,90,70,70,60,50,60,90,90,60,70,40,60,100,80,50,70,50,60,80
6,Kadın,18-24,Ön Lisans,Serbest Meslek,Ayda bir,Mobil tarayıcı,0.3333333333333333,5.0,0.2,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,3.0,80,60,Kullanmıyorum,50,70,90,80,70,100,60,90,90,70,60,70,50,80,70,80,Kullanmıyorum,Kullanmıyorum,70,70,80,90,60,70,50,60,90
7,Erkek,25-34,Ön Lisans,Kamu,Haftada birkaç kez,Mobil uygulama,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,80,70,70,60,70,90,80,70,70,60,80,80,90,60,80,30,60,80,90,50,80,50,80,80,80,70,80,50,40,80
8,Kadın,18-24,Lise,Öğrenci,Haftada birkaç kez,Tablet,0.2,1.0,1.0,0.3333333333333333,1.0,3.0,3.0,1.0,3.0,5.0,70,50,70,50,70,90,90,Kullanmıyorum,80,60,90,90,70,60,90,60,70,70,90,Kullanmıyorum,80,40,70,90,80,60,80,50,50,80
9,Erkek,18-24,Ön Lisans,Öğrenci,Ayda birkaç kez,Mobil uygulama,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,0.3333333333333333,80,60,90,60,60,90,70,60,90,50,70,90,70,60,90,50,80,80,80,60,60,30,70,90,80,60,70,70,60,50
10,Erkek,25-34,Yüksek Lisans,Öğrenci,Daha az,Mobil tarayıcı,1.0,0.3333333333333333,5.0,1.0,0.3333333333333333,3.0,1.0,5.0,1.0,0.2,80,60,60,50,70,100,80,60,80,60,80,90,80,50,90,50,70,70,90,60,70,40,70,90,Kullanmıyorum,60,70,60,50,80
